width,run_id,cumulative_accepted_updates,cumulative_forwards,cumulative_full_calls,cumulative_model_seconds,q_per_measurement,alpha,segment_cumulative_infeasible_trials,segment_cumulative_line_search_rejections,plateau_passed
16,continuation-w16-p1-m96-a01-a362528360f8,39,258,53,2020.625593753066,16.585007469764243,6.103515625e-05,14,14,False
16,continuation-w16-p1-m96-a01-a362528360f8,40,260,54,2040.8182412850438,16.57944681460611,1.0,14,14,False
16,continuation-w16-p1-m96-a01-a362528360f8,41,262,55,2060.938209832995,16.573418724755008,1.0,14,14,False
16,continuation-w16-p1-m96-a01-a362528360f8,42,264,56,2080.99937937106,16.57204389515658,1.0,14,14,False
16,continuation-w16-p1-m96-a01-a362528360f8,43,267,57,2106.5380586200627,16.570850050946213,0.5,15,15,False
16,continuation-w16-p1-m96-a01-a362528360f8,44,270,58,2132.1594493550947,16.56790221249532,0.5,16,16,False
16,continuation-w16-p1-m96-a01-a362528360f8,45,278,59,2184.3920112610795,16.56781116281784,0.015625,22,22,False
16,continuation-w16-p1-m96-a01-a362528360f8,46,289,60,2254.6164460750297,16.56779534832199,0.001953125,31,31,False
24,continuation-w24-p1-m96-a01-d8f9323cdf43,29,228,38,2167.2979187057354,16.78180802573787,0.25,0,2,False
24,continuation-w24-p1-m96-a01-d8f9323cdf43,30,230,39,2192.7019147058018,16.779529341276714,1.0,0,2,False
